Incident Number,County,Fire Name,Date Start,Date Contained,Origin DPA,DPA Type,Acres Burned,Vegetation Type,Cause,Structures Destroyed,Structures Damaged,Fatalities Fire,Fatalities Civil
SQF-3261,TULARE,SLATE,10/4/16,11/5/16,USFS,Other Agencies,2160,BT,LIGHTNING,,,,
SNF-2370,FRESNO,SACATA,10/11/16,10/19/16,USFS,Other Agencies,2100,BGT,UNDETERMINED,,,,
SQF-3384,TULARE,JACOBSON,10/20/16,11/1/16,USFS,Other Agencies,1702,BT,UNDETERMINED,,,,
SQF-3456,TULARE,MEADOW,10/29/16,11/22/16,USFS,Other Agencies,4347,BT,LIGHTNING,,,,
SQF-3464,TULARE,HIDDEN,11/2/16,11/23/16,USFS,Other Agencies,2768,BT,LIGHTNING,,,,
FKU-5281,FRESNO,JAYNE,4/20/17,4/21/17,CAL FIRE,State and Contract Counties ,4532,G,EQUIPMENT USE,,,,
FKU-5669,FRESNO,EL DORADO,4/28/17,4/28/17,CAL FIRE,State and Contract Counties ,750,G,UNDETERMINED,,,,
RRU-53193,RIVERSIDE,OPERA,4/30/17,5/2/17,CAL FIRE,State and Contract Counties ,1350,BG,VEHICLE,,,,
MMU-9464,MERCED,WRIGHT,5/12/17,5/13/17,CAL FIRE,State and Contract Counties ,1733,G,UNDETERMINED,,,,
FKU-6727,FRESNO,ELM 2,5/18/17,5/21/17,CAL FIRE,State and Contract Counties ,10000,BG,ELECTRICAL POWER,,,,
KRN-18713,KERN,MING,5/20/17,5/22/17,CC,State and Contract Counties ,506,G,UNDETERMINED,,,,
MVU-12098,SAN DIEGO,GATE,5/20/17,5/22/17,CAL FIRE,State and Contract Counties ,2056,BG,UNDETERMINED,,,,
TUU-286,TULARE,DINELY,6/7/17,6/10/17,CAL FIRE,State and Contract Counties ,339,BG,EQUIPMENT USE,,,,
MMU-11650,MADERA,OAKWOOD,6/10/17,6/13/17,CAL FIRE,State and Contract Counties ,1417,BG,SHOOTING,,,,
FKU-8044,FRESNO,MONTEREY,6/11/17,6/11/17,CAL FIRE,State and Contract Counties ,450,G,SHOOTING,,,,
LAC-178275,LOS ANGELES,LAKE,6/17/17,6/23/17,CC,State and Contract Counties ,850,BG,UNDETERMINED,,2,,
FKU-8759,FRESNO,CREEK,6/23/17,6/27/17,CAL FIRE,State and Contract Counties ,357,BG,DEBRIS BURNING,4,,,
LAC-187296,LOS ANGELES,PLACERITA,6/25/17,6/28/17,CC,State and Contract Counties ,760,BG,DEBRIS BURNING,1,1,,
RRU-78840,RIVERSIDE,MANZANITA,6/26/17,6/30/17,CAL FIRE,State and Contract Counties ,6309,BG,VEHICLE,,,,
SLU-7101,SAN LUIS OBISPO,HILL,6/26/17,6/28/17,CAL FIRE,State and Contract Counties ,1626,BG,VEHICLE,7,,,
MMU-13022,MARIPOSA,BEN,6/28/17,7/6/17,CAL FIRE,State and Contract Counties ,558,BG,VEHICLE,,,,
KRN-24894,KERN,TARINA,6/30/17,7/1/17,CC,State and Contract Counties ,1200,G,UNDETERMINED,,,,
FKU-9289,FRESNO,DERRICK,7/2/17,7/5/17,CAL FIRE,State and Contract Counties ,1562,BG,UNDETERMINED,,,,
SKU-4779,SISKIYOU,FAY,7/5/17,7/31/17,CAL FIRE,State and Contract Counties ,496,BGT,MISCELLANEOUS,1,,,
LNU-6262,YOLO,WINTER,7/6/17,7/14/17,CAL FIRE,State and Contract Counties ,1700,BT,VEHICLE,,,,
SLU-7624,SAN LUIS OBISPO,ALAMO,7/6/17,7/18/17,CAL FIRE,State and Contract Counties ,28687,BG,UNDETERMINED,14,1,,
BTU-10975,BUTTE,WALL,7/7/17,8/3/17,CAL FIRE,State and Contract Counties ,6033,BG,ELECTRICAL POWER,91,10,,
BEU-3551,MONTEREY,PARKFIELD,7/8/17,7/8/17,CAL FIRE,State and Contract Counties ,1816,BG,ELECTRICAL POWER,,1,,
FKU-9755,KINGS,GARZA,7/9/17,7/25/17,CAL FIRE,State and Contract Counties ,48660,BG,EQUIPMENT USE,1,,,
SLU-7792,SAN LUIS OBISPO,STONE,7/9/17,7/11/17,CAL FIRE,State and Contract Counties ,340,BG,EQUIPMENT USE,3,,,
MVU-16909,SAN DIEGO,JENNINGS 2,7/11/17,7/14/17,CAL FIRE,State and Contract Counties ,400,BG,VEHICLE,,,,
BDU-9854,SAN BERNARDINO,BRIDGE 2,7/14/17,7/18/17,CAL FIRE,State and Contract Counties ,460,BG,UNDETERMINED,,,,
MEU-8307,MENDOCINO,GRADE,7/16/17,7/18/17,CAL FIRE,State and Contract Counties ,900,BG,VEHICLE,1,,,
MMU-14474,MARIPOSA,DETWILER,7/16/17,8/31/17,CAL FIRE,State and Contract Counties ,81826,BG,SHOOTING,134,21,,
FKU-10248,FRESNO,PARK,7/17/17,7/30/17,CAL FIRE,State and Contract Counties ,1649,BG,EQUIPMENT USE,,,,
TUU-420,TULARE,ELEPHANT 2,7/20/17,7/21/17,CAL FIRE,State and Contract Counties ,416,G,ARSON,,,,
AEU-21652,SACRAMENTO,LATROBE,7/26/17,7/28/17,CAL FIRE,State and Contract Counties ,1268,G,DEBRIS BURNING,,,,
TCU-9024,TOULUMNE,JACKSONVILLE,7/29/17,8/4/17,CAL FIRE,State and Contract Counties ,675,BG,UNDETERMINED,1,,,
TUU-441,TULARE,ROADRUNNER,7/30/17,7/31/17,CAL FIRE,State and Contract Counties ,2289,G,ARSON,,,,
BDU-10918,SAN BERNARDINO,BRYANT 2,8/3/17,8/14/17,CAL FIRE,State and Contract Counties ,325,BG,UNDETERMINED,1,,,
