"Year","County","Cause","Acres","destroyed","damaged","dead_fire","dead_civil","value"
2018,"AMADOR","EQUIPMENT USE",825,1,1,0,0,8e+05
2018,"BUTTE","DEBRIS BURNING",550,0,0,0,0,1000
2018,"BUTTE","ELECTRICAL POWER",153796,0,754,0,86,2000176698
2018,"BUTTE","UNDETERMINED",1000,0,0,0,0,0
2018,"GLENN","MISCELLANEOUS",2290,1,0,0,0,810000
2018,"INYO","UNDETERMINED",6076,0,0,0,0,0
2018,"LASSEN","PLAYING WITH FIRE",383,4,0,0,0,4e+05
2018,"LASSEN","UNDETERMINED",18703,0,0,0,0,374000
2018,"MADERA","ELECTRICAL POWER",300,0,0,0,0,159300
2018,"MADERA","EQUIPMENT USE",300,0,0,0,0,9500
2018,"MADERA","LIGHTNING",12990,0,0,0,0,0
2018,"MADERA","PLAYING WITH FIRE",360,0,0,0,0,200
2018,"MARIPOSA","UNDETERMINED",96901,11,0,2,0,20000
2018,"MERCED","EQUIPMENT USE",6319,0,0,0,0,1364000
2018,"MODOC","LIGHTNING",39387,2,0,0,0,300
2018,"MODOC","UNDETERMINED",2100,0,0,0,0,2
2018,"MONO","UNDETERMINED",757,0,0,0,0,0
2018,"MONTEREY","ELECTRICAL POWER",411,0,0,0,0,3500
2018,"MONTEREY","UNDETERMINED",450,0,0,0,0,102100
2018,"MONTEREY","VEHICLE",700,0,0,0,0,88512
2018,"NAPA","EQUIPMENT USE",2490,0,0,0,0,15000
2018,"RIVERSIDE","EQUIPMENT USE",1261,0,0,0,0,1000
2018,"SAN BENITO","ELECTRICAL POWER",513,0,0,0,0,42960
2018,"SAN BENITO","UNDETERMINED",1314,0,0,0,0,21000
2018,"SAN BERNARDINO","UNDETERMINED",1350,0,0,0,0,65500
2018,"SAN DIEGO","UNDETERMINED",2690,48,14,0,0,13150
2018,"SAN JOAQUIN","EQUIPMENT USE",11789,1,0,0,0,3542700
2018,"SAN LUIS OBISPO","UNDETERMINED",2514,0,0,0,0,5500
2018,"SANTA CLARA","EQUIPMENT USE",320,0,0,0,0,80000
2018,"SHASTA","CAMPFIRE",386,0,0,0,0,310000
2018,"SHASTA","UNDETERMINED",1900,0,0,0,0,531100
2018,"SHASTA","VEHICLE",229651,0,279,3,4,2000427998
2018,"SISKIYOU","ARSON",38008,83,12,0,1,5431459
2018,"SOLANO","UNDETERMINED",4500,2,0,0,0,0
2018,"SUTTER","UNDETERMINED",1000,0,0,0,0,0
2018,"TEHAMA","EQUIPMENT USE",2956,9,3,0,0,1450700
2018,"TEHAMA","UNDETERMINED",3392,0,0,0,0,1938300
2018,"TEHAMA","VEHICLE",4745,0,0,0,0,3046500
2018,"TULARE","LIGHTNING",5924,0,0,0,0,0
2018,"TULARE","UNDETERMINED",496,0,0,0,0,800
2018,"TUOLUMNE","UNDETERMINED",36450,135,0,0,0,1200
2018,"TUOLUMNE","VEHICLE",573,0,0,0,0,15810
2018,"YOLO","ELECTRICAL POWER",90000,29,4,0,0,5000
2018,"YOLO","UNDETERMINED",822,0,0,0,0,1000
2019,"BUTTE","ARSON",496,2,1,0,0,100700
2019,"COLUSA","LIGHTNING",2220,4,0,0,0,80000
2019,"CONTRA COSTA","ARSON",340,0,0,0,0,218460
2019,"INYO","LIGHTNING",10400,0,0,0,0,0
2019,"LASSEN","LIGHTNING",4400,0,0,0,0,500
2019,"LASSEN","UNDETERMINED",2438,1,4,0,0,0
2019,"MARIPOSA","VEHICLE",5563,1,0,0,0,200200
2019,"MODOC","LIGHTNING",5737,0,0,0,0,0
2019,"MODOC","UNDETERMINED",14150,0,0,0,0,0
2019,"MONO","LIGHTNING",4840,0,0,0,0,0
2019,"MONTEREY","ELECTRICAL POWER",2546,0,0,0,0,7150
2019,"MONTEREY","UNDETERMINED",310,0,0,0,0,100
2019,"MONTEREY","VEHICLE",306,0,0,0,0,30900
2019,"NAPA","UNDETERMINED",526,1,0,0,0,0
2019,"PLUMAS","UNDETERMINED",54608,9,0,0,0,0
2019,"RIVERSIDE","ARSON",560,0,0,0,0,0
2019,"RIVERSIDE","UNDETERMINED",1864,74,17,0,2,442600
2019,"RIVERSIDE","VEHICLE",828,7,7,0,0,13000
2019,"SAN BERNARDINO","UNDETERMINED",685,0,0,0,0,145500
2019,"SAN DIEGO","UNDETERMINED",448,0,0,0,0,269200
2019,"SAN LUIS OBISPO","ELECTRICAL POWER",1075,0,0,0,0,4510720
2019,"SAN LUIS OBISPO","EQUIPMENT USE",2773,1,1,0,0,20400
2019,"SAN LUIS OBISPO","LIGHTNING",835,0,0,0,0,0
2019,"SHASTA","ARSON",600,14,7,0,0,4e+06
2019,"SISKIYOU","LIGHTNING",1872,0,0,0,0,0
2019,"SONOMA","ELECTRICAL POWER",77758,374,60,0,0,383750000
2019,"STANISLAUS","EQUIPMENT USE",581,0,0,0,0,38108
2019,"STANISLAUS","PLAYING WITH FIRE",2420,0,0,0,0,50
2019,"SUTTER","UNDETERMINED",1300,7,0,0,0,0
2019,"TEHAMA","CAMPFIRE",2534,0,1,0,0,200200
2019,"TEHAMA","LIGHTNING",14168,4,0,0,0,315200
2019,"TEHAMA","VEHICLE",605,1,3,0,0,310200
2019,"TRINITY","LIGHTNING",1749,0,0,0,0,0
2019,"TULARE","EQUIPMENT USE",756,0,0,0,0,8502
2019,"TULARE","LIGHTNING",2406,0,0,0,0,0
2019,"TULARE","UNDETERMINED",591,0,0,0,0,1415
