"Incident.Number","County","Fire.Name","Date.Start","Date.Contained","Origin.DPA","DPA.Type","Acres.Burned","Vegetation.Type","Cause","Structures.Destroyed","Structures.Damaged","Fatalities.Fire","Fatalities.Civil","Year","Month","Timber","Brush","Woodland","Grass","Agricultural","Structures.All","Fatalities.All"
"LNU-10051","NAPA","PARTRICK (CENTRAL LNU COMPLEX - NUNS)","10/8/17","10/31/17","CAL FIRE","State and Contract Counties ",8283,"BGT","ELECTRICAL POWER",NA,NA,NA,NA,"2017",10,1,1,0,1,0,NA,NA
"MEU-12169","MENDOCINO","REDWOOD VALLEY
(MENDOCINO LAKE COMPLEX)","10/8/17","10/26/17","CAL FIRE","State and Contract Counties ",36523,"GT","ELECTRICAL POWER",543,41,NA,9,"2017",10,1,0,0,1,0,584,NA
"MRN-2957","MARIN","THIRTY SEVEN","10/9/17","10/12/17","CC","State and Contract Counties ",1660,"BG","ELECTRICAL POWER",3,1,NA,NA,"2017",10,0,1,0,1,0,4,NA
"BTU-15954","BUTTE","LA PORTE (NEU WIND COMPLEX)","10/9/17","10/20/17","CAL FIRE","State and Contract Counties ",6151,"BT","ELECTRICAL POWER",74,2,NA,NA,"2017",10,1,1,0,0,0,76,NA
"ORC-110494","ORANGE","CANYON 2","10/9/17","10/17/17","CC","State and Contract Counties ",9217,"BG","MISCELLANEOUS",25,55,NA,NA,"2017",10,0,1,0,1,0,80,NA
"LNU-10046","NAPA","ATLAS (SOUTHERN LNU COMPLEX)","10/9/17","10/28/17","CAL FIRE","State and Contract Counties ",51624,"BGT","ELECTRICAL POWER",783,120,NA,6,"2017",10,1,1,0,1,0,903,NA
"LNU-10055","LAKE","SULPHUR
(MENDOCINO LAKE COMPLEX)","10/9/17","10/26/17","CAL FIRE","State and Contract Counties ",2207,"GT","ELECTRICAL POWER",162,8,NA,NA,"2017",10,1,0,0,1,0,170,NA
"LNU-10057","SONOMA","POCKET 2 (CENTRAL LNU COMPLEX)","10/9/17","10/31/17","CAL FIRE","State and Contract Counties ",17357,"BGT","ELECTRICAL POWER",6,2,NA,NA,"2017",10,1,1,0,1,0,8,NA
"CZU-7822","SANTA CRUZ","BEAR","10/16/17","10/29/17","CAL FIRE","State and Contract Counties ",391,"T","ARSON",6,NA,NA,NA,"2017",10,1,0,0,0,0,NA,NA
"VNC-43244","VENTURA/SANTA
BARBARA","THOMAS","12/4/17","1/12/18","CC","State and Contract Counties ",281893,"BG","UNDETERMINED",NA,274,1,1,"2017",12,0,1,0,1,0,NA,2
"LAC-362189","LOS ANGELES","CREEK","12/5/17","12/29/17","CC","State and Contract Counties ",15619,"B","UNDETERMINED",123,81,NA,NA,"2017",12,0,1,0,0,0,204,NA
"LAC-362441","LOS ANGELES","RYE","12/5/17","12/15/17","CC","State and Contract Counties ",6049,"BG","UNDETERMINED",6,3,NA,NA,"2017",12,0,1,0,1,0,9,NA
"MVU-24612","SAN DIEGO","LILAC 5","12/7/17","12/16/17","CAL FIRE","State and Contract Counties ",4088,"BG","UNDETERMINED",157,64,NA,NA,"2017",12,0,1,0,1,0,221,NA
"NOD-1810","MODOC","WEST","4/1/17","4/1/17","BLM","Other Agencies",401,"BG","MISCELLANEOUS",NA,NA,NA,NA,"2017",4,0,1,0,1,0,NA,NA
"MCP-1494","SAN DIEGO","DELUZ","5/19/17","5/22/17","DOD","Other Agencies",486,"BG","MISCELLANEOUS",NA,NA,NA,NA,"2017",5,0,1,0,1,0,NA,NA
"FHL-1267","MONTEREY","RANGE","6/4/17","6/11/17","DOD","Other Agencies",1972,"G","MISCELLANEOUS",NA,NA,NA,NA,"2017",6,0,0,0,1,0,NA,NA
"SQF-1223","KERN","HIGHWAY","6/21/17","6/25/17","USFS","Other Agencies",1522,"G","UNDETERMINED",NA,NA,NA,NA,"2017",6,0,0,0,1,0,NA,NA
"BDF-9443","SAN BERNARDINO","HOLCOMB","6/21/17","6/29/17","USFS","Other Agencies",1503,"BGT","UNDETERMINED",NA,NA,NA,NA,"2017",6,1,1,0,1,0,NA,NA
"SQF-1317","TULARE","SCHAEFFER","6/24/17","8/5/17","USFS","Other Agencies",16031,"BGT","LIGHTNING",NA,NA,NA,NA,"2017",6,1,1,0,1,0,NA,NA
"BDF-9802","SAN BERNARDINO","MART","6/27/17","7/1/17","USFS","Other Agencies",670,"BG","UNDETERMINED",NA,NA,NA,NA,"2017",6,0,1,0,1,0,NA,NA
"MDF-415","MODOC","BATTLE","6/28/17","7/1/17","USFS","Other Agencies",640,"BG","UNDETERMINED",NA,NA,NA,NA,"2017",6,0,1,0,1,0,NA,NA
"MCP-172047","SAN DIEGO","CRISTIANITOS","6/28/17","7/1/17","DOD","Other Agencies",761,"BG","UNDETERMINED",NA,NA,NA,NA,"2017",6,0,1,0,1,0,NA,NA
"KRN-26708","KERN","QUIAL COMPLEX","7/6/17","7/6/17","CC","Other Agencies",1626,"BG","UNDETERMINED",NA,NA,NA,NA,"2017",7,0,1,0,1,0,NA,NA
"LPF-1770","SANTA BARBARA","WHITTIER","7/8/17","10/5/17","USFS","Other Agencies",18430,"B","UNDETERMINED",40,7,NA,NA,"2017",7,0,1,0,0,0,47,NA
"HTF-30363","NEVADA","FARAD","7/10/17","7/16/17","USFS","Other Agencies",747,"BGT","UNDETERMINED",NA,NA,NA,NA,"2017",7,1,1,0,1,0,NA,NA
"NOD-30366","LASSEN","LONG VALLEY","7/11/17","7/25/17","BLM","Other Agencies",83733,"BG","UNDETERMINED",8,3,NA,NA,"2017",7,0,1,0,1,0,11,NA
"MDF-541","MODOC","DOBE","7/13/17","7/31/17","USFS","Other Agencies",410,"BGT","MISCELLANEOUS",NA,NA,NA,NA,"2017",7,1,1,0,1,0,NA,NA
"KRN-27936","KERN","HUDSON","7/18/17","7/18/17","LOCAL","Other Agencies",1083,"G","UNDETERMINED",NA,NA,NA,NA,"2017",7,0,0,0,1,0,NA,NA
"SRF-703","SISKIYOU","MARBLE","7/19/17","7/28/17","USFS","Other Agencies",319,"T","UNDETERMINED",NA,NA,NA,NA,"2017",7,1,0,0,0,0,NA,NA
"MDF-671","MODOC","MODOC JULY COMPLEX","7/24/17","8/13/17","USFS","Other Agencies",83120,"BGT","UNDETERMINED",NA,NA,NA,NA,"2017",7,1,1,0,1,0,NA,NA
"SRF-741","SISKIYOU","ORLEANS COMPLEX","7/25/17","10/12/17","USFS","Other Agencies",27276,"BGT","LIGHTNING",NA,NA,NA,NA,"2017",7,1,1,0,1,0,NA,NA
"NOD-4279","WASHOE","R-21","7/26/17","7/27/17","BLM","Other Agencies",589,"BG","LIGHTNING",NA,NA,NA,NA,"2017",7,0,1,0,1,0,NA,NA
"PNF-1043","PLUMAS","MINERVA 5","7/29/17","8/16/17","USFS","Other Agencies",4310,"T","UNDETERMINED",NA,NA,NA,NA,"2017",7,1,0,0,0,0,NA,NA
"SQF-1989","KERN","GARDEN","7/30/17","8/9/17","USFS","Other Agencies",450,"B","MISCELLANEOUS",NA,NA,NA,NA,"2017",7,0,1,0,0,0,NA,NA
"INF-1235","MONO","GRANT","7/31/17","8/3/17","USFS","Other Agencies",400,"BT","LIGHTNING",NA,NA,NA,NA,"2017",7,1,1,0,0,0,NA,NA
"STF-2452","TUOLUMNE","SUMMIT COMPLEX","7/31/17","11/30/17","USFS","Other Agencies",5248,"BT","UNDETERMINED",NA,NA,NA,NA,"2017",7,1,1,0,0,0,NA,NA
"YNP-84","MARIPOSA","EMPIRE","8/1/17","10/31/17","NPS","Other Agencies",6370,"BT","LIGHTNING",NA,NA,NA,NA,"2017",8,1,1,0,0,0,NA,NA
"LPF-2123","SAN LUIS OBISPO","RED","8/2/17","8/3/17","USFS","Other Agencies",450,"BG","UNDETERMINED",NA,NA,NA,NA,"2017",8,0,1,0,1,0,NA,NA
"MDF-862","MODOC","PARKER 2","8/3/17","8/14/17","USFS","Other Agencies",7697,"BT","LIGHTNING",1,NA,NA,NA,"2017",8,1,1,0,0,0,NA,NA
"INF-1264","TULARE","INDIAN","8/3/17","8/29/17","USFS","Other Agencies",2295,"BT","LIGHTNING",NA,NA,NA,NA,"2017",8,1,1,0,0,0,NA,NA
"TNF-992","PLUMAS","CHILCOOT","8/6/17","8/8/17","USFS","Other Agencies",1021,"BG","LIGHTNING",NA,NA,NA,NA,"2017",8,0,1,0,1,0,NA,NA
"PNF-1145","LASSEN","POSLIN","8/6/17","8/9/17","USFS","Other Agencies",860,"BG","LIGHTNING",NA,NA,NA,NA,"2017",8,0,1,0,1,0,NA,NA
"SNF-1476","MADERA","BUTTE","8/7/17","8/17/17","USFS","Other Agencies",635,"BT,","LIGHTNING",NA,NA,NA,NA,"2017",8,1,1,0,0,0,NA,NA
"SRF-863","DEL NORTE","YOUNG","8/7/17","10/15/17","USFS","Other Agencies",21377,"BT","UNDETERMINED",NA,NA,NA,NA,"2017",8,1,1,0,0,0,NA,NA
"SRF-897","TRINITY","RUTH COMPLEX","8/9/17","8/25/17","USFS","Other Agencies",4736,"BGT","LIGHTNING",NA,NA,NA,NA,"2017",8,1,1,0,1,0,NA,NA
"KRN-31474","KERN","ROSE","8/10/17","8/10/17","CC","Other Agencies",338,"G","MISCELLANEOUS",NA,NA,NA,NA,"2017",8,0,0,0,1,0,NA,NA
